Class and number	v1	v2	T	T*	Lf	
I.Bi.c.188	0.3304190862	0.1753063381	177.6311331786	532.966	214
I.Bi.c.189	0.3942881027	0.0792702101	196.8942769930	563.077	226
I.Bi.c.190	0.3165116655	0.1757233721	187.3222444953	572.838	230
I.Bi.c.191	0.3134547198	0.2019372816	197.1007090614	592.504	238
II.Ai.c.1	0.4239199957	0.4890252375	121.7417821220	168.801	72
II.Ai.c.2	0.4210931065	0.4930983422	135.8627697832	187.283	80
II.Ai.c.3	0.3202131331	0.3028156498	145.3317595261	385.829	156
II.Ai.c.4	0.0262032843	0.6907471490	46.5767068651	51.302	24
II.Bi.c.1	0.3962186234	0.5086826315	96.4358796119	135.220	58
II.Bi.c.2	0.2517755120	0.2667371937	99.8166259190	302.976	122
II.Bi.c.3	0.5091186403	0.1142951579	120.8830891862	263.980	106
II.Bi.c.4	0.2070614316	0.5772071599	183.2613461906	294.470	128
II.Bi.c.5	0.2465911029	0.2579795310	111.2623782794	342.935	138
II.Bi.c.6	0.0699202568	0.6190218805	95.2884025970	147.108	64
II.Bi.c.7	0.3956548748	0.5097716060	109.8746683440	153.696	66
II.Bi.c.8	0.3064804236	0.5513199378	111.1933380875	166.023	72
II.Bi.c.9	0.5122100376	0.1633529632	155.0269037645	323.470	130
II.Bi.c.10	0.5152772213	0.2342147738	189.7694426662	362.277	146
II.Ci.c.1	0.2827020949	0.3272089716	10.9633031497	29.602	12
II.Ci.c.2	0.5647061130	0.5368389792	54.7501910522	30.615	14
II.Ci.c.3	0.5225201635	0.2268083872	26.3193848826	49.643	20
II.Ci.c.4	0.2016783093	0.4098955437	21.0205158972	53.923	22
II.Ci.c.5	0.5512729728	0.5504821832	86.9417019465	48.666	22
II.Ci.c.6	0.5233890828	0.3421147815	44.9302453896	68.687	28
II.Ci.c.7	0.4737427040	0.4312766992	46.8946539631	67.014	28
II.Ci.c.8	0.2433845587	0.2505166924	22.3333787897	69.623	28
II.Ci.c.9	0.1739184309	0.1140843875	21.7535340992	79.380	32
II.Ci.c.10	0.1448119296	0.5428981413	38.0630301501	73.656	32
II.Ci.c.11	0.1359037483	0.5406786957	37.5276119206	73.655	32
II.Ci.c.12	0.5547060649	0.2721678509	52.9480727303	83.484	34
II.Ci.c.13	0.4458173723	0.4924872346	62.5459036895	79.776	34
II.Ci.c.14	0.5368578744	0.3705761039	60.5607353967	81.946	34
II.Ci.c.15	0.5196491506	0.3533207146	57.9902773954	87.485	36
II.Ci.c.16	0.2449726867	0.5690681065	52.9395192839	82.896	36
II.Ci.c.17	0.5164575299	0.1638309455	43.4746638318	89.583	36
II.Ci.c.18	0.4052765310	0.4961906801	62.2999748903	89.021	38
II.Ci.c.19	0.1868592137	0.2044548811	27.7253651277	94.814	38
II.Ci.c.20	0.3026158825	0.3576846960	37.1769633336	92.900	38
II.Ci.c.21	0.5044568709	0.3973785294	70.8348253915	100.524	42
II.Ci.c.22	0.2661160110	0.5520357440	62.9864913052	101.369	44
II.Ci.c.23	0.2865945055	0.5607550065	67.5864018030	101.366	44
II.Ci.c.24	0.0882838085	0.3615155443	35.8170122339	107.796	44
II.Ci.c.25	0.5159476361	0.1444933284	52.2126924444	109.534	44
II.Ci.c.26	0.3970546540	0.4996659112	74.4041641681	107.502	46
II.Ci.c.27	0.4168220336	0.3303332949	55.7893112814	118.396	48
II.Ci.c.28	0.2663548692	0.3359619580	43.5341483568	118.413	48
II.Ci.c.29	0.4293246983	0.3737393096	64.8733105441	122.532	50
II.Ci.c.30	0.2542679242	0.2153811120	40.5931469775	129.480	52
II.Ci.c.31	0.5059387393	0.3894005400	86.4180127242	124.733	52
II.Ci.c.32	0.4110200317	0.4114629190	72.8712103518	131.908	54
II.Ci.c.33	0.4158187604	0.3068035415	60.1507436615	133.196	54
II.Ci.c.34	0.4480473854	0.4596449839	96.8391326694	137.607	58
II.Ci.c.35	0.4177015960	0.3034552740	66.7511112061	147.998	60
II.Ci.c.36	0.2710171846	0.5711013679	93.0418702843	138.097	60
II.Ci.c.37	0.3499168589	0.2508093737	56.8351605485	154.045	62
II.Ci.c.38	0.3783890881	0.5100736088	98.6023217127	144.458	62
II.Ci.c.39	0.4270829576	0.3403174863	80.0382219001	162.799	66
II.Ci.c.40	0.1703649368	0.5803609520	94.1583429936	156.387	68
II.Ci.c.41	0.4762205782	0.2687092179	85.3959959932	173.320	70
II.Ci.c.42	0.4318334213	0.1223893080	66.8092062353	174.367	70
II.Ci.c.43	0.4146425708	0.3012162581	79.2835610170	177.602	72
II.Ci.c.44	0.2710036741	0.3121152228	63.3936161404	177.616	72
II.Ci.c.45	0.4234217026	0.2989326748	87.2610777514	192.404	78
II.Ci.c.46	0.3282929621	0.1554041101	63.6556668110	194.300	78
II.Ci.c.47	0.2950615495	0.2386718494	65.2298654293	193.976	78
II.Ci.c.48	0.4069563704	0.3543774452	94.7746114120	196.579	80
II.Ci.c.49	0.4182604701	0.2994822960	92.9809890454	207.206	84
II.Ci.c.50	0.2881254754	0.2779750581	74.3601049133	213.349	86
II.Ci.c.51	0.2833115180	0.2333212957	70.5062877151	213.934	86
II.Ci.c.52	0.4473380629	0.1056541774	84.0347942344	214.234	86
II.Ci.c.53	0.4121687384	0.3002886778	98.4332144983	222.009	90
II.Ci.c.54	0.3351806004	0.3540343105	96.9055687195	231.480	94
II.Ci.c.55	0.2761024483	0.2287323888	76.0753942955	233.888	94
II.Ci.c.56	0.4502872480	0.0999875045	92.1831437265	234.168	94
II.Ci.c.57	0.2793033126	0.2712019544	79.7728571001	233.344	94
II.Ci.c.58	0.2723827379	0.2246817404	81.8883337850	253.840	102
II.Ci.c.59	0.2726258099	0.2206843436	88.0168046313	273.789	110
II.Ci.c.60	0.2769769990	0.2163211708	94.5261869045	293.737	118
II.Ci.c.61	0.6696859765	0.4862798575	111.6735511043	33.168	16
II.Ci.c.62	0.1467711144	0.1988238982	15.5852040984	54.959	22
II.Ci.c.63	0.2980305901	0.6485348678	63.9306478929	61.240	26
II.Ci.c.64	0.1066062988	0.2369740501	21.4593318053	74.728	30
II.Ci.c.65	0.1189697937	0.5386581099	41.4367113206	82.848	36
II.Ci.c.66	0.1349579489	0.1388158691	26.9173582655	99.303	40
II.Ci.c.67	0.0190962965	0.7880982771	174.4738106853	88.413	40
II.Ci.c.68	0.5313917017	0.3440533419	72.8917817632	107.762	44
II.Ci.c.69	0.1983287250	0.1083646402	33.1578999528	119.204	48
II.Ci.c.70	0.3961359419	0.5075990479	82.9095584181	116.741	50
II.Ci.c.71	0.3890589703	0.4364126051	67.5933134073	121.028	50
II.Ci.c.72	0.4662602934	0.4781121788	97.8521357163	122.573	52
II.Ci.c.73	0.3912900930	0.5083913706	88.5152268416	125.981	54
II.Ci.c.74	0.0475462969	0.5646588375	72.4005108986	137.919	60
II.Ci.c.75	0.2744207740	0.5580117379	89.1716635083	138.312	60
II.Ci.c.76	0.3631543956	0.4101572180	72.5369395460	146.759	60
II.Ci.c.77	0.2855135908	0.5556857756	90.2667574352	138.311	60
II.Ci.c.78	0.2575762954	0.2092185043	46.7559266660	149.424	60
II.Ci.c.79	0.2825899895	0.5574593048	96.3976373998	147.549	64
II.Ci.c.80	0.4617804462	0.3849338004	101.4930532952	170.969	70
II.Ci.c.81	0.4456464329	0.3434928347	89.2721503494	172.311	70
II.Ci.c.82	0.3379452918	0.5474555148	117.6340486503	166.030	72
II.Ci.c.83	0.3129165204	0.5484741376	111.5227089594	166.023	72
II.Ci.c.84	0.2968893204	0.5439638834	106.0964315543	166.027	72
II.Ci.c.85	0.2512495838	0.5669129966	106.1149733422	165.791	72
II.Ci.c.86	0.3992808324	0.5094959441	124.2440256690	172.173	74
II.Ci.c.87	0.2254087369	0.3469436377	66.3522685919	185.770	76
II.Ci.c.88	0.5234738074	0.3430125576	122.6793293886	187.099	76
II.Ci.c.89	0.2645261109	0.5649476217	113.7789661432	175.026	76
II.Ci.c.90	0.3753943858	0.5199969079	127.3458631987	181.409	78
II.Ci.c.91	0.3734356168	0.5183824717	125.9373100767	181.411	78
II.Ci.c.92	0.4243049239	0.4900563659	135.7270472138	187.284	80
II.Ci.c.93	0.4778578506	0.4362351173	138.1973477797	191.760	80
II.Ci.c.94	0.4478725342	0.4242755759	121.1471674140	191.761	80
II.Ci.c.95	0.3680416437	0.5200194559	131.2837960007	190.649	82
II.Ci.c.96	0.4439740574	0.4220558056	122.5262152360	197.395	82
II.Ci.c.97	0.5049855347	0.4003409209	143.1429402354	201.045	84
II.Ci.c.98	0.3619688366	0.5160511236	131.3618489148	196.510	84
II.Ci.c.99	0.4963272196	0.2750082245	111.8364019177	212.500	86
II.Ci.c.100	0.1600479685	0.5830974531	121.7551058696	202.368	88
II.Ci.c.101	0.5102908231	0.3575901413	144.7874249037	223.383	92
II.Ci.c.102	0.5032871392	0.2685375206	123.6355912506	232.553	94
II.Ci.c.103	0.4831068889	0.3429708664	133.0041037254	231.494	94
II.Ci.c.104	0.4600987572	0.4389868308	154.3254142371	225.270	94
II.Ci.c.105	0.4135304700	0.2998696032	105.2365923011	236.811	96
II.Ci.c.106	0.4300124259	0.3554749370	120.2233121235	235.641	96
II.Ci.c.107	0.4128800187	0.4868642357	159.3592373143	230.096	98
II.Ci.c.108	0.2337840221	0.4711247940	107.6906838559	232.442	98
II.Ci.c.109	0.5021284225	0.4265371911	178.9211696576	234.551	98
II.Ci.c.110	0.2164867425	0.5799872016	146.6171327324	230.040	100
II.Ci.c.111	0.3579867923	0.3621287896	108.4386863974	245.065	100
II.Ci.c.112	0.4031141443	0.5020964921	165.8327705497	233.483	100
II.Ci.c.113	0.4481845220	0.3602811878	132.3386808547	245.065	100
II.Ci.c.114	0.5500731263	0.3814634479	196.2411230097	243.818	102
II.Ci.c.115	0.3562032573	0.5250003095	161.1788109414	236.834	102
II.Ci.c.116	0.4118599465	0.3432155311	120.0533167933	251.614	102
II.Ci.c.117	0.4801960806	0.2871406271	129.0160097094	251.594	102
II.Ci.c.118	0.5371658731	0.3984943066	195.6689329179	243.818	102
II.Ci.c.119	0.2725820526	0.2644346962	85.2269842957	253.331	102
II.Ci.c.120	0.4500287021	0.4212626102	157.2987714029	249.489	104
II.Ci.c.121	0.4438767435	0.4225775888	158.5428263415	255.123	106
II.Ci.c.122	0.0931957583	0.5754064016	137.7843111275	248.248	108
II.Ci.c.123	0.4175301746	0.3430957060	128.7472932221	266.417	108
II.Ci.c.124	0.3600187937	0.5221797725	173.6222271714	255.315	110
II.Ci.c.125	0.3806272915	0.3501131016	126.6161436477	280.062	114
II.Ci.c.126	0.3837791731	0.3569518329	129.0860797033	280.060	114
II.Ci.c.127	0.0715935321	0.5614606957	139.6739967734	266.646	116
II.Ci.c.128	0.5084896856	0.3971173995	198.1578809274	277.336	116
II.Ci.c.129	0.5129886961	0.1995185091	146.1306716825	293.285	118
II.Ci.c.130	0.2239434477	0.5629809053	166.9610126801	276.188	120
II.Ci.c.131	0.3646073207	0.2326179920	110.5223988488	298.378	120
II.Ci.c.132	0.3758809553	0.3714191733	139.4763383031	298.922	122
II.Ci.c.133	0.4079687070	0.3467946424	142.9574365649	300.211	122
II.Ci.c.134	0.2582557078	0.2986633497	104.3188859584	302.238	122
II.Ci.c.135	0.2613665653	0.3010646289	108.3619916341	311.829	126
II.Ci.c.136	0.3955814740	0.3842771664	154.1379803565	308.316	126
II.Ci.c.137	0.3455455677	0.3273880159	126.5531673809	310.791	126
II.Ci.c.138	0.3385794074	0.2315252500	112.9484622797	318.336	128
II.Ci.c.139	0.3578601157	0.1829928242	111.3983832975	318.716	128
II.Ci.c.140	0.2662199199	0.2617288091	107.5138953175	322.958	130
II.Ci.c.141	0.4458373407	0.4219085904	195.1709699750	312.851	130
II.Ci.c.142	0.4161228347	0.3579128439	158.2418427194	319.125	130
II.Ci.c.143	0.4104164725	0.3814951548	166.1586070391	323.146	132
II.Ci.c.144	0.0693693379	0.6033646696	184.4392377108	303.372	132
II.Ci.c.145	0.4735978920	0.2313177546	156.9836879900	337.752	136
II.Ci.c.146	0.4799888062	0.2624795421	166.2000474547	337.042	136
II.Ci.c.147	0.4637112431	0.2858923789	164.6023344184	336.170	136
II.Ci.c.148	0.5206456110	0.2383685944	183.3096591850	342.274	138
II.Ci.c.149	0.4175792025	0.3246498436	159.0527052142	340.388	138
II.Ci.c.150	0.5093497308	0.1590840316	162.6587265245	343.423	138
II.Ci.c.151	0.0683834774	0.5833653062	181.4427818832	321.742	140
II.Ci.c.152	0.4639950316	0.3539989419	196.2961464240	352.779	144
II.Ci.c.153	0.3518330832	0.3639937352	155.4205568976	354.011	144
II.Ci.c.154	0.3153981646	0.2969797915	136.0121995709	366.662	148
II.Ci.c.155	0.4099850242	0.3706053839	184.4454176663	367.599	150
II.Ci.c.156	0.3231926176	0.3279135713	145.3798952880	369.993	150
II.Ci.c.157	0.4771765515	0.1801229299	167.7213251594	378.199	152
II.Ci.c.158	0.2973959601	0.2543194648	129.5705475970	377.705	152
II.Ci.c.159	0.3134720455	0.1840666537	124.0700355615	378.530	152
II.Ci.c.160	0.4160632302	0.3349978893	182.5440752184	384.788	156
II.Ci.c.161	0.3358161544	0.3881164707	172.8143824669	386.358	158
II.Ci.c.162	0.4870167590	0.2099302469	186.5727277418	397.676	160
II.Ci.c.163	0.2969877047	0.2221255009	132.0216562587	398.149	160
II.Ci.c.164	0.4156609919	0.3579596922	199.4409746332	402.608	164
II.Ci.c.165	0.4871928568	0.1661495427	187.7801397568	418.099	168
II.Ci.c.166	0.3638592241	0.3770170533	191.6726449737	416.030	170
II.Ci.c.167	0.2985413068	0.3181960211	160.2142776167	429.197	174
II.Ci.c.168	0.3102533155	0.3277636570	165.3209382776	429.196	174
II.Ci.c.169	0.3098999619	0.3285015035	165.4253970148	429.196	174
II.Ci.c.170	0.2767271690	0.2447992873	144.7823792155	437.609	176
II.Ci.c.171	0.4388627404	0.2371915812	190.4374989777	442.162	178
II.Ci.c.172	0.3625783597	0.3645069408	195.6153329373	436.274	178
II.Ci.c.173	0.4277449853	0.2640042862	192.0213587611	441.494	178
II.Ci.c.174	0.3729712940	0.2250121941	165.0090445138	442.699	178
II.Ci.c.175	0.2888390504	0.2160604105	149.4648328243	457.995	184
II.Ci.c.176	0.3666419820	0.1916460944	165.3779094251	463.044	186
II.Ci.c.177	0.2884663698	0.1819781618	151.5859612492	478.215	192
II.Ci.c.178	0.3749871963	0.1474830882	169.2093364950	483.234	194
II.Ci.c.179	0.3017673304	0.3279588878	185.8778154983	488.400	198
II.Ci.c.180	0.2920863313	0.2113564265	162.4404868020	497.887	200
II.Ci.c.181	0.3363227387	0.1931223679	171.4994464900	502.925	202
II.Ci.c.182	0.2965212394	0.3180127676	192.7713804348	518.004	210
II.Ci.c.183	0.3263964865	0.1928214109	175.7091618817	522.865	210
II.Ci.c.184	0.3066734671	0.2613669948	189.5879550733	541.439	218
II.Ci.c.185	0.2992280886	0.1590598797	173.1881049209	548.070	220
II.Ci.c.186	0.3117925543	0.1916312640	185.1588528533	562.745	226
II.Ci.c.187	0.3033738636	0.2176185571	193.8770772063	582.359	234
II.Ci.c.188	0.2604465076	0.2256869065	196.6479293263	617.213	248
II.Ci.c.189	0.0667327899	0.2912867569	13.3697110598	44.585	18
II.Ci.c.190	0.0539725385	0.3917593746	15.2796210778	44.221	18
II.Ci.c.191	0.4271293811	0.6282376589	58.8959853789	39.689	18
II.Ci.c.192	0.1459197548	0.0434579988	16.8197113393	63.731	26
II.Ci.c.193	0.0734343088	0.2956785083	22.4013173133	74.175	30
II.Ci.c.194	0.5555876261	0.4214936039	75.1051252007	79.771	34
II.Ci.c.195	0.1873991947	0.4829394618	40.3052946558	88.940	38
II.Ci.c.196	0.3268704330	0.4439931746	46.4481084914	92.956	38
II.Ci.c.197	0.0772553729	0.0962935023	25.8396411521	99.351	40
II.Ci.c.198	0.4805076338	0.5832469030	131.5712571441	91.825	40
II.Ci.c.199	0.0759936918	0.2997588242	31.5191656332	103.772	42
II.Ci.c.200	0.2513336605	0.3012408423	37.4214190867	108.895	44
II.Ci.c.201	0.2224798560	0.3218943929	38.7911677318	113.081	46
II.Ci.c.202	0.1727411576	0.3365007421	39.3444245245	117.243	48
II.Ci.c.203	0.3449378402	0.4918716974	72.6547174942	122.583	52
II.Ci.c.204	0.3984837145	0.4527620517	76.7667464654	128.345	54
II.Ci.c.205	0.3107903232	0.4359615931	67.9349980910	142.684	58
II.Ci.c.206	0.0995077146	0.3957710385	51.8957289725	146.826	60
II.Ci.c.207	0.2712629218	0.5766902452	95.1895194685	138.097	60
II.Ci.c.208	0.3791031878	0.5143377515	100.3150104107	144.457	62
II.Ci.c.209	0.2816496180	0.3514755712	60.0376470543	156.172	64
II.Ci.c.210	0.3851685224	0.5086415312	106.2835399139	153.696	66
II.Ci.c.211	0.4036022580	0.5028840213	109.6282058892	153.695	66
II.Ci.c.212	0.3011541892	0.5487167377	102.8385494278	156.786	68
II.Ci.c.213	0.3082337510	0.5516573762	105.5334666717	156.785	68
II.Ci.c.214	0.5201916309	0.2123324421	87.2860842631	168.920	68
II.Ci.c.215	0.2512381225	0.3272400470	61.3992062163	172.282	70
II.Ci.c.216	0.3800232997	0.5162361284	114.2142913903	162.934	70
II.Ci.c.217	0.3975219956	0.4882458860	112.4811763381	168.800	72
II.Ci.c.218	0.1829585594	0.2103495753	55.5611081365	189.628	76
II.Ci.c.219	0.3085347089	0.5520329973	118.2139479118	175.260	76
II.Ci.c.220	0.4492249567	0.4587831231	127.0667084547	180.390	76
II.Ci.c.221	0.3837232497	0.5140136806	127.4087704175	181.411	78
II.Ci.c.222	0.3434370240	0.3432358104	80.1579217509	192.405	78
II.Ci.c.223	0.3085741714	0.5449851912	121.1980464816	184.498	80
II.Ci.c.224	0.5144801407	0.2857654410	117.3488690365	207.219	84
II.Ci.c.225	0.2872301587	0.5602387584	128.9199840181	193.496	84
II.Ci.c.226	0.3934771561	0.4902364154	130.3922423022	196.521	84
II.Ci.c.227	0.5186642945	0.4541901634	178.6359517335	198.854	84
II.Ci.c.228	0.3524931856	0.4505770398	110.5012506668	206.707	86
II.Ci.c.229	0.3697593874	0.5206204356	138.5644185707	199.887	86
II.Ci.c.230	0.1744019921	0.5732931066	119.3409051099	202.528	88
II.Ci.c.231	0.2507324209	0.5609900202	132.5826540167	211.967	92
II.Ci.c.232	0.3102568382	0.3782456948	98.4450118457	234.185	96
II.Ci.c.233	0.3164477867	0.3698035086	100.1147034290	239.623	98
II.Ci.c.234	0.5017058130	0.3990265330	164.4248192381	234.552	98
II.Ci.c.235	0.4964835592	0.4057747351	164.5510136944	234.550	98
II.Ci.c.236	0.4408929544	0.4698230681	167.8693941629	235.912	100
II.Ci.c.237	0.2461487944	0.6145395833	178.2090341298	229.958	100
II.Ci.c.238	0.4984243728	0.3329687902	148.3551137804	251.596	102
II.Ci.c.239	0.3700247775	0.5202555395	164.0744043589	236.839	102
II.Ci.c.240	0.0760602620	0.5596439595	124.7398513280	239.095	104
II.Ci.c.241	0.2629848757	0.5682829440	157.2343331952	239.454	104
II.Ci.c.242	0.4412121748	0.4675245937	173.2839445231	245.159	104
II.Ci.c.243	0.2823167104	0.3047669596	93.9381222516	262.167	106
II.Ci.c.244	0.4148849874	0.4294385631	152.4007166724	260.708	108
II.Ci.c.245	0.2590526978	0.5675456785	161.7057059926	248.687	108
II.Ci.c.246	0.4127173212	0.4811313628	172.7271237236	254.407	108
II.Ci.c.247	0.2984774772	0.3112529516	99.9639866944	270.552	110
II.Ci.c.248	0.4548792495	0.0896454467	108.4524334532	274.035	110
II.Ci.c.249	0.2665841319	0.3022483726	102.1824317103	291.781	118
II.Ci.c.250	0.4844029847	0.3736255064	177.3515504868	286.659	118
II.Ci.c.251	0.3411937664	0.3825680644	131.0523112095	293.481	120
II.Ci.c.252	0.0586366068	0.5597110167	142.9605350754	275.837	120
II.Ci.c.253	0.3804169509	0.4572231874	169.3702787280	292.272	122
II.Ci.c.254	0.5037923362	0.1747438086	143.5988884160	303.516	122
II.Ci.c.255	0.2561269120	0.5608155668	180.1580642764	285.625	124
II.Ci.c.256	0.2837482257	0.5614963919	189.9268027134	285.626	124
II.Ci.c.257	0.5131588515	0.2602604185	168.5910027941	311.829	126
II.Ci.c.258	0.4645822446	0.1953706981	147.6469709211	338.292	136
II.Ci.c.259	0.2917230338	0.3452541720	130.3529990771	337.917	138
II.Ci.c.260	0.3112891054	0.2267370723	121.6024452554	358.246	144
II.Ci.c.261	0.2454949884	0.2540955605	117.1126560935	362.908	146
II.Ci.c.262	0.0287862275	0.5707533073	181.4588447950	340.130	148
II.Ci.c.263	0.2562136355	0.2838084549	125.6570100053	371.909	150
II.Ci.c.264	0.4170034770	0.3102262150	168.4651914531	369.988	150
II.Ci.c.265	0.3144776347	0.3384505706	147.5270266470	374.131	152
II.Ci.c.266	0.4918473155	0.2454925215	187.4542190908	377.057	152
II.Ci.c.267	0.3761809218	0.3532059176	170.5138193587	378.349	154
II.Ci.c.268	0.3056392216	0.1836258098	129.2171362065	398.468	160
II.Ci.c.269	0.4960977515	0.2385446088	197.8631582971	397.054	160
II.Ci.c.270	0.4104114120	0.3445688496	192.5445595982	403.834	164
II.Ci.c.271	0.2467372077	0.2775100851	136.6911306267	411.921	166
II.Ci.c.272	0.4575453115	0.1342591236	170.7060517460	418.405	168
II.Ci.c.273	0.4172215985	0.2993562736	192.1261448292	429.215	174
II.Ci.c.274	0.2949718542	0.1827156599	140.1366752667	438.342	176
II.Ci.c.275	0.2855835377	0.2660169761	149.6591730432	437.035	176
II.Ci.c.276	0.3603318276	0.2709274707	177.5718855596	461.490	186
II.Ci.c.277	0.2507351786	0.2255040571	149.0890582528	472.908	190
II.Ci.c.278	0.3629372328	0.3162617929	195.3285969934	473.584	192
II.Ci.c.279	0.3489312300	0.1929567624	167.8515325534	482.985	194
II.Ci.c.280	0.3367192080	0.2245212441	169.5289089831	482.607	194
II.Ci.c.281	0.3345518669	0.2491328461	173.2986495241	482.106	194
II.Ci.c.282	0.2661161012	0.2372575353	161.3204581667	497.491	200
II.Ci.c.283	0.3263451304	0.2232000030	173.6238700114	502.560	202
II.Ci.c.284	0.2691801071	0.2735720090	174.8747847822	516.330	208
II.Ci.c.285	0.3871025522	0.0815328019	180.8302707269	523.214	210
II.Ci.c.286	0.3160793968	0.2637288074	185.5272060127	521.457	210
II.Ci.c.287	0.2760184543	0.3032382309	185.9955024470	524.332	212
II.Ci.c.288	0.2727528907	0.2677183168	181.1571379148	536.321	216
II.Ci.c.289	0.2622757577	0.2330074672	172.7824864667	537.404	216
II.Ci.c.290	0.3183530021	0.1922865149	180.2913171422	542.805	218
II.Ci.c.291	0.3399550132	0.1541144944	180.7565986170	543.034	218
II.Ci.c.292	0.3631773805	0.0949879733	181.4207291447	543.146	218
II.Ci.c.293	0.3065816346	0.2427199104	185.8437676373	542.005	218
II.Ci.c.294	0.3498808794	0.1024629340	184.8631924652	563.078	226
II.Ci.c.295	0.2992239248	0.2591926454	194.1284833538	561.418	226
II.Ci.c.296	0.3075000551	0.2752303164	199.8953995457	560.764	226
II.Ci.c.297	0.3397933101	0.1078662760	189.0456502718	583.010	234
II.Ci.c.298	0.2461251004	0.2456980192	191.0226619103	596.818	240
II.Ci.c.299	0.2470038592	0.2437055901	197.1869561423	616.780	248
II.Ci.c.300	0.3259384766	0.1144879319	198.6920179177	622.874	250	
